source_id,target_id
136126b6,1c20c412
fdbc6738,cc738e7d
fdbc6738,3fbfcf2c
4e28d285,0e19cd39
c3f732cf,6b8e15d9
538d906d,aac6b50e
bd8b2c81,f2f0d184
bd8b2c81,d2c63f5c
bd8b2c81,7b2615db
bd8b2c81,722cd119
9a4d8e4b,141c60ce
08da8d5b,df8a117d
cc738e7d,3fbfcf2c
dd4ebf2b,7943ace6
8c093fcd,1b0c6093
8c093fcd,b846bc3b
20806ca4,dfe00b46
c1f9c2d9,be6d54ee
d99163b9,f1b7bb92
d99163b9,bb25a789
9983689b,b70b5939
c17f50fb,25328b23
153f7bed,0367a118
91fd33c2,9fb28d0f
e81da7c3,839aebc2
02fb4f9c,e81da7c3
02fb4f9c,d716232a
18ef53bf,b5445afa
18ef53bf,cfc13dc1
2f2aca58,dccf536d
8ce377e1,24a67344
03471370,493107eb
0669272d,25202058
27eab39c,4e5e492b
efa218d0,cd8db442
